code,title,description
AEC 251,*INTRODUCTION TO AGRICULTURAL AND FOOD ECONOMICS,"An introductory applied microeconomics course focused on the unique challenges of agricultural and food systems. Topics include rational choice theory, models of supply and demand, and price formation, with particular attention on markets for agricultural and food products. Additional topics include market interdependencies, government policy, the behavior of firms, and market structure within agricultural and food systems. (Bacc Core Course)"
AEC 253,"*ENVIRONMENTAL LAW, POLICY, AND ECONOMICS","A general introduction to federal environmental law and policy in the U.S. Familiarizes students with basic legal institutions and concepts of the American legal system, outlines the transition of environmental policy from its common law roots to its modern administrative law form, and gives an overview of the major federal environmental statutes. Relationships among legal theory and process and economic principles are emphasized. (Bacc Core Course)"
AEC 351,*NATURAL RESOURCE ECONOMICS AND POLICY,"Application of principles of economics to identify the causes, consequences, and ways of dealing with natural resource problems, including problems associated with fisheries, forests, water resources, and land. Conceptual topics and policy applications. Emphasis is on developing students' skill in applying an economic way of thinking about natural resource management. (Bacc Core Course)"
AEC 351,*NATURAL RESOURCE ECONOMICS AND POLICY,"Application of principles of economics to identify the causes, consequences, and ways of dealing with natural resource problems, including problems associated with fisheries, forests, water resources, and land. Conceptual topics and policy applications. Emphasis is on developing students' skill in applying an economic way of thinking about natural resource management. (Bacc Core Course)"
AEC 352,*ENVIRONMENTAL ECONOMICS AND POLICY,Varies by section
AEC 352,*ENVIRONMENTAL ECONOMICS AND POLICY,Varies by section
AEC 372,AGRICULTURAL COOPERATIVES,"An introduction to and in-depth examination of the agricultural cooperative. Students will gain a working knowledge of the concepts, principles, and terminology of agricultural cooperatives through reference materials, lectures, presentations by guest speakers and a cooperatives tour. Students will consider the strengths and weaknesses of the agricultural cooperative as well as the unique management and operational challenges inherent to this form of business operation."
AEC 388,AGRICULTURAL LAW,"Application of legal principles to business decision making in farming, ranching, and the agricultural support industry. Consideration of the obligations arising out of contract, tort, property, water, public land, and natural resource law."
AEC 388,AGRICULTURAL LAW,"Application of legal principles to business decision making in farming, ranching, and the agricultural support industry. Consideration of the obligations arising out of contract, tort, property, water, public land, and natural resource law."
AEC 399,SPECIAL TOPICS: ST/PREP FOR EXPERIENTIAL LEARN,Targeted courses that focus on specific topics in agricultural and resource economics. Topics may vary from term to term and from year to year. May be repeated for credit when topics differ.
AEC 401,RESEARCH AND SCHOLARSHIP,
AEC 402,INDEPENDENT STUDY,
AEC 403,THESIS,
AEC 405,READING AND CONFERENCE,
AEC 406,PROJECTS,
AEC 406,PROJECTS,
AEC 410,INTERNSHIP,"Practical on-the-job training in agricultural business, marketing, commercial agricultural production, or related private or public organizations. Graded P/N."
AEC 465,AGRICULTURAL AND FOOD FINANCIAL MANAGEMENT,"Students will develop risk management strategies utilizing the AgBiz Logic program to reduce the financial, production, marketing, and human resource risks facing agribusinesses. This course is designed to help students apply financial and economic principles to business decisions under diverse and changing circumstances. The course reviews basic financial reporting statements, details accounting and financing practices specific to agricultural and food enterprises."
AEC 465,AGRICULTURAL AND FOOD FINANCIAL MANAGEMENT,"Students will develop risk management strategies utilizing the AgBiz Logic program to reduce the financial, production, marketing, and human resource risks facing agribusinesses. This course is designed to help students apply financial and economic principles to business decisions under diverse and changing circumstances. The course reviews basic financial reporting statements, details accounting and financing practices specific to agricultural and food enterprises."
AEC 466,AGRICULTURAL AND FOOD MARKETING MANAGEMENT,"Principles, trends, issues, barriers, policies, strategies and decisions involved in domestic and international marketing of perishable and storable agricultural commodities and food products from the point of production to the point of consumption. Topics include firm-level marketing concepts, the integration of marketing with firms’ overall strategic management goals, as well as comparative studies across multiple outlets for agricultural and food products, to include local, regional, and global markets."
AED 313,THEORY AND PRACTICUM III: FIELD,Field based experience for students preparing to be agricultural teachers. Focus on teaching models.
AG 111,INFORMATION TECHNOLOGY IN AGRICULTURE,Using information technology in agriculture and agribusiness; practical experience with computer programs applicable to all agricultural disciplines.
AG 111,INFORMATION TECHNOLOGY IN AGRICULTURE,Using information technology in agriculture and agribusiness; practical experience with computer programs applicable to all agricultural disciplines.
AG 111,INFORMATION TECHNOLOGY IN AGRICULTURE,Using information technology in agriculture and agribusiness; practical experience with computer programs applicable to all agricultural disciplines.
AG 200,ORIENTATION TO THE AGRICULTURAL SCIENCES MAJOR,Exploration of Agricultural Sciences major and career opportunities.
AG 301,*ECOSYSTEM SCIENCE OF PACIFIC NW INDIANS,"Designed and presented in partnership with Pacific Northwest Indians and Alaska Natives, focusing on natural ecosystems, differing views, power relationships, policymaking, and gender roles. (Bacc Core Course)"
AG 301,*ECOSYSTEM SCIENCE OF PACIFIC NW INDIANS,"Designed and presented in partnership with Pacific Northwest Indians and Alaska Natives, focusing on natural ecosystems, differing views, power relationships, policymaking, and gender roles. (Bacc Core Course)"
AG 311,*NATIVE AMERICAN AGRICULTURE,"Explores Native North American agriculture and land management--prehistory of important domesticates such as maize, historic change, and contemporary issues including modern stereotypes, women in agriculture, cultural survival, and both the physical and spiritual significance of these crops in Native American communities and around the globe past and present. (Bacc Core Course)"
AG 351,*COMMUNICATING AGRICULTURE TO THE PUBLIC,"Students will explore various outlets for communicating with the public about agriculture using appropriate, professional writing. Additionally, students will articulate their thoughts on controversial issues as well as write feature and editorial pieces promoting positive agricultural practices and people in agriculture. (Bacc Core Course)"
AG 351,*COMMUNICATING AGRICULTURE TO THE PUBLIC,"Students will explore various outlets for communicating with the public about agriculture using appropriate, professional writing. Additionally, students will articulate their thoughts on controversial issues as well as write feature and editorial pieces promoting positive agricultural practices and people in agriculture. (Bacc Core Course)"
AG 391,FARM IMPLEMENTS,"Power farming implements including operation, maintenance, adjustments, calibration and use are covered. Field trips may be required."
AG 401,RESEARCH,
AG 405,READING AND CONFERENCE,
AG 405,READING AND CONFERENCE,
AG 410,INTERNSHIP,A work internship to give students practical on-the-job preparation in any of the main facets of agriculture or related industries.
AG 410,INTERNSHIP,A work internship to give students practical on-the-job preparation in any of the main facets of agriculture or related industries.
AG 421,^WRITING IN AGRICULTURE,"Students will synthesize their knowledge in various areas of agricultural sciences and analyze how current issues impact the agriculture industry, explore careers in agriculture, and develop their written communication skills. Students will share their ideas and demonstrate their learning primarily in writing. (Writing Intensive Course)"
AG 445,SOCIAL MEDIA ADVOCACY IN AGRI SCIENCES & NATURAL RESOURCES,"Through practice and application, students develop the ability to communicate effectively in writing using social media and other digital platforms for business purposes, including internal communication, stakeholder engagement, educational messaging, event promotion, and product marketing."
AG 455,*RISK AND CRISIS COMMUNICATIONS IN AG SCI & NATURAL RESOURCES,"Examine potential risk and crisis communications scenarios in agriculture, natural resources and environmental sciences, plus the relevant theories, models, and processes involved in addressing these types of situations effectively. Explores the mitigation, management, and response to risks and crises from a communications perspective with special application to natural resources, along with agricultural and environmental sciences, hazardous situations through completing case studies and creating a risk and crisis communications manual. (Bacc Core Course)"
AG 455,*RISK AND CRISIS COMMUNICATIONS IN AG SCI & NATURAL RESOURCES,"Examine potential risk and crisis communications scenarios in agriculture, natural resources and environmental sciences, plus the relevant theories, models, and processes involved in addressing these types of situations effectively. Explores the mitigation, management, and response to risks and crises from a communications perspective with special application to natural resources, along with agricultural and environmental sciences, hazardous situations through completing case studies and creating a risk and crisis communications manual. (Bacc Core Course)"
AG 499,SPECIAL TOPICS: ST/ SENIOR PROJECT,Topics may vary from term to term and from year to year. May be repeated for credit when topics differ.
AGRI 199,SPECIAL TOPICS: ST/ U-SUCCEED,
AGRI 199,SPECIAL TOPICS: ST/ U-SUCCEED,
AGRI 402,INDEPENDENT STUDIES: IND STUD/ AG EXEC COUNCIL,Graded P/N.
AGRI 420,INTRO TO ORGANIC PRODUCTION,"History of organic farming, advantages and disadvantages, review of long-term studies comparing organic and conventional production systems, a review of the federal organic production guidelines, methods and applications for organic production facilities, crop nutrition, compost and manure utilization, organic amendments, organic field crop production, organic gardening, organic livestock production, weed and pest control in organic systems, and marketing of organic produce."
AJ 311,MEDIA STORYTELLING,"Introduction to community journalism, with a focus on developing storytelling methodologies for a variety of media in firsthand reporting praxis."
AJ 410,INTERNSHIP,"Students seeking to obtain the Applied Journalism Minor must complete three sections of AJ 410 Internship, to include reporting, production and/or editorial duties at Orange Media Network (OMN)."
AJ 490,MEDIA LAW AND ETHICS,Exploring case studies and other analyses germane to the most relevant and pressing legal and ethical issues in contemporary journalism.
ALS 102,COLLEGE READING,Provides students with specific strategies for learning through reading.  The primary focus of the course is to prepare students to function successfully in subsequent university course work.  Emphasis is placed on the demonstration and practice of a study-reading process.
ALS 107,CAMP ORIENTATION,Assists students of migrant worker background to develop successful skills adaptive to the culture of higher education.
ALS 109,TRIO-SSS FIRST-YEAR STUDENT SUCCESS,"For TRIO-SSS students. Designed to ease their transition to college by providing technological and academic skills, as well as knowledge of resources and the information necessary to be successful students and productive citizens. Students will also learn the importance of self-reliance and the skills necessary to be self-sufficient."
ALS 114,CAREER DECISION MAKING,"Students will become knowledgeable about the world of work and career development theories using career assessment, literature, media, and computer resources. Lec/rec."
ALS 114,CAREER DECISION MAKING,"Students will become knowledgeable about the world of work and career development theories using career assessment, literature, media, and computer resources. Lec/rec."
ALS 114,CAREER DECISION MAKING,"Students will become knowledgeable about the world of work and career development theories using career assessment, literature, media, and computer resources. Lec/rec."
ALS 114,CAREER DECISION MAKING,"Students will become knowledgeable about the world of work and career development theories using career assessment, literature, media, and computer resources. Lec/rec."
ALS 114,CAREER DECISION MAKING,"Students will become knowledgeable about the world of work and career development theories using career assessment, literature, media, and computer resources. Lec/rec."
ALS 116,ACADEMIC SUCCESS,"Assessment and development of strategies for succeeding in university-level academics. Topics include time management, goal setting, critical thinking, note taking, and study skills. Graded P/N."
ALS 116,ACADEMIC SUCCESS,"Assessment and development of strategies for succeeding in university-level academics. Topics include time management, goal setting, critical thinking, note taking, and study skills. Graded P/N."
ALS 116,ACADEMIC SUCCESS,"Assessment and development of strategies for succeeding in university-level academics. Topics include time management, goal setting, critical thinking, note taking, and study skills. Graded P/N."
ALS 116,ACADEMIC SUCCESS,"Assessment and development of strategies for succeeding in university-level academics. Topics include time management, goal setting, critical thinking, note taking, and study skills. Graded P/N."
ALS 139,WELCOME TO OSU: INTERNATIONAL FIRST YEAR EXPERIENCE,"A university integration class specifically designed for new students at Oregon State University.  Explore topics such as academic integrity, working with academic advisors, U.S. academic culture, navigating campus resources, communicating with professors, and integrating into the campus community."
ALS 140,INTRODUCTION TO UNIVERSITY READING AND WRITING,"Students will strengthen their ability to comprehend and analyze a variety of texts. They will also improve the unity and coherence of their writing as well as develop techniques for writing in an academic setting. Students will focus on strategic reading and content analysis; comparing and contrasting ideas; considering different points of view; and linking cause and effect relationships. In addition, students will be introduced to concepts regarding academic accountability and using outside sources in their writing."
ALS 140,INTRODUCTION TO UNIVERSITY READING AND WRITING,"Students will strengthen their ability to comprehend and analyze a variety of texts. They will also improve the unity and coherence of their writing as well as develop techniques for writing in an academic setting. Students will focus on strategic reading and content analysis; comparing and contrasting ideas; considering different points of view; and linking cause and effect relationships. In addition, students will be introduced to concepts regarding academic accountability and using outside sources in their writing."
ALS 140,INTRODUCTION TO UNIVERSITY READING AND WRITING,"Students will strengthen their ability to comprehend and analyze a variety of texts. They will also improve the unity and coherence of their writing as well as develop techniques for writing in an academic setting. Students will focus on strategic reading and content analysis; comparing and contrasting ideas; considering different points of view; and linking cause and effect relationships. In addition, students will be introduced to concepts regarding academic accountability and using outside sources in their writing."
ALS 140,INTRODUCTION TO UNIVERSITY READING AND WRITING,"Students will strengthen their ability to comprehend and analyze a variety of texts. They will also improve the unity and coherence of their writing as well as develop techniques for writing in an academic setting. Students will focus on strategic reading and content analysis; comparing and contrasting ideas; considering different points of view; and linking cause and effect relationships. In addition, students will be introduced to concepts regarding academic accountability and using outside sources in their writing."
ALS 140,INTRODUCTION TO UNIVERSITY READING AND WRITING,"Students will strengthen their ability to comprehend and analyze a variety of texts. They will also improve the unity and coherence of their writing as well as develop techniques for writing in an academic setting. Students will focus on strategic reading and content analysis; comparing and contrasting ideas; considering different points of view; and linking cause and effect relationships. In addition, students will be introduced to concepts regarding academic accountability and using outside sources in their writing."
ALS 141,INTRODUCTION TO UNIVERSITY LISTENING AND SPEAKING,"Students will improve their ability to understand main ideas, important details, and implied meanings of authentic academic speech. They will listen to audio and video lectures, participate in in-class discussions, improve their note-taking skills, and conduct basic research that they will present in formal and informal in-class presentations."
ALS 141,INTRODUCTION TO UNIVERSITY LISTENING AND SPEAKING,"Students will improve their ability to understand main ideas, important details, and implied meanings of authentic academic speech. They will listen to audio and video lectures, participate in in-class discussions, improve their note-taking skills, and conduct basic research that they will present in formal and informal in-class presentations."
ALS 141,INTRODUCTION TO UNIVERSITY LISTENING AND SPEAKING,"Students will improve their ability to understand main ideas, important details, and implied meanings of authentic academic speech. They will listen to audio and video lectures, participate in in-class discussions, improve their note-taking skills, and conduct basic research that they will present in formal and informal in-class presentations."
ALS 141,INTRODUCTION TO UNIVERSITY LISTENING AND SPEAKING,"Students will improve their ability to understand main ideas, important details, and implied meanings of authentic academic speech. They will listen to audio and video lectures, participate in in-class discussions, improve their note-taking skills, and conduct basic research that they will present in formal and informal in-class presentations."
ALS 141,INTRODUCTION TO UNIVERSITY LISTENING AND SPEAKING,"Students will improve their ability to understand main ideas, important details, and implied meanings of authentic academic speech. They will listen to audio and video lectures, participate in in-class discussions, improve their note-taking skills, and conduct basic research that they will present in formal and informal in-class presentations."
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 145,BUILDING STRATEGIES FOR GRADUATE SUCCESS,Varies by section
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 150,INTO OSU ACADEMIC READING AND WRITING 5,"Designed to provide international and/or immigrant students substantive practice in reading and writing English at the advanced level. Students are expected to read, understand and discuss a variety of academic readings from the natural and physical sciences, the social sciences, the humanities and literature. Students will work on reading skills; vocabulary acquisition; library and research skills; paraphrasing and summarizing; and the organization, style and development of essays."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,"Skill building to develop and improve comprehension and notetaking of lectures in an academic format. Students required to give individual and group presentations including informational, argumentative, and persuasive presentations. Instruction is given in cross-cultural communications styles, non-verbal communication, questioning techniques, and clarifying information."
ALS 161,LECTURE AND PRESENTATION METHODS FOR INTERNATIONAL STUDENTS,Varies by section
ALS 161,LECTURE AND PRESENTATION METHODS FOR INTERNATIONAL STUDENTS,Varies by section
ALS 161,LECTURE AND PRESENTATION METHODS FOR INTERNATIONAL STUDENTS,Varies by section
ALS 161,LECTURE AND PRESENTATION METHODS FOR INTERNATIONAL STUDENTS,Varies by section
ALS 161,LECTURE AND PRESENTATION METHODS FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 162,ADVANCED ACADEMIC WRITING FOR INTERNATIONAL STUDENTS,Varies by section
ALS 165,TECHNICAL COMMUNICATION FOR INTERNATIONAL GRADUATE STUDENTS,"Helps students develop comprehension of university-level academic material, engage in classroom discussions, and make academic presentations. Comprehension topics include note-taking skills and understanding organizational structures and signals used by university academic lecturers and discussions in STEM-related fields. Presentation skill development activities prepare students for <a href=""/search/?p=COMM%20111"" data-action=""result-detail"" data-group=""code:COMM 111"" >COMM 111</a> and <a href=""/search/?p=COMM%20218"" data-action=""result-detail"" data-group=""code:COMM 218"" >COMM 218</a>, focusing on incorporating outside research from library sources (such as academic journals, newspapers, magazines, and textbooks) and working together with other students. Emphasis on group participation, equal sharing of group projects, self-evaluation, and critiques of the presentation styles of peers and lecturers."
ALS 165,TECHNICAL COMMUNICATION FOR INTERNATIONAL GRADUATE STUDENTS,"Helps students develop comprehension of university-level academic material, engage in classroom discussions, and make academic presentations. Comprehension topics include note-taking skills and understanding organizational structures and signals used by university academic lecturers and discussions in STEM-related fields. Presentation skill development activities prepare students for <a href=""/search/?p=COMM%20111"" data-action=""result-detail"" data-group=""code:COMM 111"" >COMM 111</a> and <a href=""/search/?p=COMM%20218"" data-action=""result-detail"" data-group=""code:COMM 218"" >COMM 218</a>, focusing on incorporating outside research from library sources (such as academic journals, newspapers, magazines, and textbooks) and working together with other students. Emphasis on group participation, equal sharing of group projects, self-evaluation, and critiques of the presentation styles of peers and lecturers."
ALS 165,TECHNICAL COMMUNICATION FOR INTERNATIONAL GRADUATE STUDENTS,"Helps students develop comprehension of university-level academic material, engage in classroom discussions, and make academic presentations. Comprehension topics include note-taking skills and understanding organizational structures and signals used by university academic lecturers and discussions in STEM-related fields. Presentation skill development activities prepare students for <a href=""/search/?p=COMM%20111"" data-action=""result-detail"" data-group=""code:COMM 111"" >COMM 111</a> and <a href=""/search/?p=COMM%20218"" data-action=""result-detail"" data-group=""code:COMM 218"" >COMM 218</a>, focusing on incorporating outside research from library sources (such as academic journals, newspapers, magazines, and textbooks) and working together with other students. Emphasis on group participation, equal sharing of group projects, self-evaluation, and critiques of the presentation styles of peers and lecturers."
ALS 165,TECHNICAL COMMUNICATION FOR INTERNATIONAL GRADUATE STUDENTS,"Helps students develop comprehension of university-level academic material, engage in classroom discussions, and make academic presentations. Comprehension topics include note-taking skills and understanding organizational structures and signals used by university academic lecturers and discussions in STEM-related fields. Presentation skill development activities prepare students for <a href=""/search/?p=COMM%20111"" data-action=""result-detail"" data-group=""code:COMM 111"" >COMM 111</a> and <a href=""/search/?p=COMM%20218"" data-action=""result-detail"" data-group=""code:COMM 218"" >COMM 218</a>, focusing on incorporating outside research from library sources (such as academic journals, newspapers, magazines, and textbooks) and working together with other students. Emphasis on group participation, equal sharing of group projects, self-evaluation, and critiques of the presentation styles of peers and lecturers."
ALS 165,TECHNICAL COMMUNICATION FOR INTERNATIONAL GRADUATE STUDENTS,"Helps students develop comprehension of university-level academic material, engage in classroom discussions, and make academic presentations. Comprehension topics include note-taking skills and understanding organizational structures and signals used by university academic lecturers and discussions in STEM-related fields. Presentation skill development activities prepare students for <a href=""/search/?p=COMM%20111"" data-action=""result-detail"" data-group=""code:COMM 111"" >COMM 111</a> and <a href=""/search/?p=COMM%20218"" data-action=""result-detail"" data-group=""code:COMM 218"" >COMM 218</a>, focusing on incorporating outside research from library sources (such as academic journals, newspapers, magazines, and textbooks) and working together with other students. Emphasis on group participation, equal sharing of group projects, self-evaluation, and critiques of the presentation styles of peers and lecturers."
ALS 165,TECHNICAL COMMUNICATION FOR INTERNATIONAL GRADUATE STUDENTS,"Helps students develop comprehension of university-level academic material, engage in classroom discussions, and make academic presentations. Comprehension topics include note-taking skills and understanding organizational structures and signals used by university academic lecturers and discussions in STEM-related fields. Presentation skill development activities prepare students for <a href=""/search/?p=COMM%20111"" data-action=""result-detail"" data-group=""code:COMM 111"" >COMM 111</a> and <a href=""/search/?p=COMM%20218"" data-action=""result-detail"" data-group=""code:COMM 218"" >COMM 218</a>, focusing on incorporating outside research from library sources (such as academic journals, newspapers, magazines, and textbooks) and working together with other students. Emphasis on group participation, equal sharing of group projects, self-evaluation, and critiques of the presentation styles of peers and lecturers."
